Item,percent_uk,totalUse,importWorld,importEU,importNonEU,production,percent_EU_imports,exports,deficit_after_brexit,leftAfterBrexit,production_less_exports,prod_perc,importEU_perc,importNonEU_perc
"Broad beans, horse beans, dry",295.09527055539326,92421,449,185,264,272730,41.202672605790646,180756,180573,2.953809199207972,91974,2.9509527055539326,0.0020017095681717357,0.0028564936540396665
"Cashew nuts, with shell",0,105,200,41,159,0,20.5,95,54,1.5142857142857142,-95,0,0.3904761904761905,1.5142857142857142
"Meat, horse",140.70953436807093,2255,0,0,0,3173,NaN,918,918,1.4070953436807094,2255,1.4070953436807094,0,0
"Tobacco, unmanufactured",0,22714,32341,2627,29714,0,8.122816239448378,9625,7e3,1.3081799771066303,-9625,0,0.11565554283701682,1.3081799771066303
Barley,124.86001955067334,5902610,135501,130120,5381,737e4,96.02881159548639,1602891,1472771,1.2495118261243754,5767109,1.2486001955067334,0.022044485405608705,9.116306176420261e-4
"Meat, sheep",96.12752493904496,314166,90909,7151,83758,302e3,7.866107866107866,78739,71592,1.2278795286568247,223261,0.9612752493904496,0.022761852014540083,0.2666042792663751
Linseed,116.80360882874174,24828,11326,10242,1084,29e3,90.42910118311849,15498,5256,1.2116964717254712,13502,1.1680360882874175,0.4125181246979217,0.04366038343805381
"Meat, nes",115.87628865979383,1940,712,706,6,2248,99.15730337078652,1022,314,1.1618556701030929,1226,1.1587628865979382,0.36391752577319586,0.003092783505154639
Kola nuts,0,22,25,0,25,0,0,3,3,1.1363636363636365,-3,0,0,1.1363636363636365
"Peas, dry",104.25515930118992,173037,19049,6847,12202,180400,35.94414404955641,26410,19565,1.1130683033108526,153990,1.0425515930118991,0.0395695718256789,0.0705167102989534
Rapeseed,109.93040912102379,2312372,77841,77838,3,2542e3,99.9961459899025,307468,229631,1.0993053885793462,2234532,1.0993040912102379,0.033661538887341656,1.2973691084306504e-6
Tea,0,113400,133491,10514,122977,0,7.876186409570683,20093,9577,1.0844532627865962,-20093,0,0.09271604938271605,1.0844532627865962
Lentils,0,20715,23226,1299,21927,0,5.592870059416172,2508,1212,1.0585083272990587,-2508,0,0.06270818247646633,1.0585083272990587
Wheat,102.89558719722093,15981249,1537796,1086642,451154,16444e3,70.66229851033557,2000545,913905,1.0571860810128169,14443455,1.0289558719722094,0.06799481066842773,0.028230209040607527
Oats,105.57429642461216,756813,37519,37510,9,799e3,99.97601215384205,79707,42196,1.0557548562194359,719293,1.0557429642461216,0.04956310211373219,1.1891973314411883e-5
Cloves,0,333,437,88,349,0,20.137299771167047,105,16,1.048048048048048,-105,0,0.26426426426426425,1.048048048048048
"Beans, dry",0,106996,119967,8766,111201,0,7.307009427592588,12967,4205,1.0393005345994242,-12967,0,0.08192829638491159,1.0393005345994242
"Milk, whole fresh cow",103.32098345070779,14831450,136967,136954,13,15324e3,99.99050866267058,629517,492563,1.03321071102286,14694483,1.033209834507078,0.009234026342670475,8.765157823409039e-7
"Coffee, green",0,162836,171050,3990,167060,0,2.332651271558024,8214,4224,1.0259402097816208,-8214,0,0.024503181114741212,1.0259402097816208
Potatoes,101.56467910132174,5557050,181644,137128,44516,5644e3,75.49272202770254,268593,131466,1.0236575161281616,5375407,1.0156467910132174,0.024676402047849127,0.00801072511494408
"Peas, green",94.97901354924957,171301,12734,686,12048,162700,5.387152505104445,4132,3447,1.020122474474755,158568,0.9497901354924957,0.004004646791320541,0.0703323389822593
"Cocoa, beans",0,57109,57772,80,57692,0,0.13847538600013848,660,583,1.0102085485650247,-660,0,0.0014008299917701238,1.0102085485650247
Dates,0,17760,19497,1625,17872,0,8.334615581884393,1741,112,1.0063063063063062,-1741,0,0.09149774774774774,1.0063063063063062
Sugar beet,99.83775161144521,6228105,11082,11071,11,6218e3,99.90073993863923,976,-10094,0.9983792823017595,6217024,0.9983775161144521,0.0017775872436318913,1.7661873073751968e-6
Ginger,0,20548,21687,1196,20491,0,5.5148245492691474,1142,-57,0.9972260073973136,-1142,0,0.05820517811952501,0.9972260073973136
Sesame seed,0,7685,8032,384,7648,0,4.780876494023905,344,-37,0.9951854261548471,-344,0,0.04996746909564086,0.9951854261548471
"Meat, turkey",98.34604768424941,184044,32819,30793,2026,181e3,93.826746701605785,29776,-1018,0.9944687140031732,151224,0.9834604768424942,0.16731325117906587,0.011008237160678967
Carrots and turnips,98.1171913170936,745004,40430,32420,8010,730977,80.18797922334899,26401,-6017,0.9919235332964655,704576,0.981171913170936,0.0435165448776114,0.010751620125529528
"Rubber, natural",0,38212,38546,649,37897,0,1.683702589114305,334,-315,0.9917565162776091,-334,0,0.016984193447084687,0.9917565162776091
Pineapples,0,129189,141809,13817,127992,0,9.743387232122078,12619,-1197,0.9907345052597357,-12619,0,0.10695183026418657,0.9907345052597357
Flax fibre and tow,99.03365544818395,15005,178,178,0,14860,100,33,-145,0.9903365544818394,14827,0.9903365544818394,0.01186271242919027,0
Plantains and others,0,18880,23637,5029,18608,0,21.27596564707873,4756,-272,0.985593220338983,-4756,0,0.2663665254237288,0.985593220338983
"Eggs, hen, in shell",97.18145961269225,719273,31875,31517,358,699e3,98.87686274509804,11601,-19915,0.9723123209129217,687399,0.9718145961269226,0.04381785497300747,4.977247859991965e-4
Rye,97.04574714616771,58255,1798,1797,1,56534,99.94438264738599,77,-1720,0.9704746373701828,56457,0.9704574714616772,0.030847137584756674,1.7165908505707665e-5
"Meat, cattle",96.80012687926235,914255,56983,55990,993,885e3,98.2573750065809,27728,-28262,0.9690873990298111,857272,0.9680012687926235,0.061241119818868914,0.0010861302371876556
Hops,25,2164,2904,1395,1509,541,48.03719008264463,1281,-114,0.9473197781885397,-740,0.25,0.6446395563770795,0.6973197781885397
"Anise, badian, fennel, coriander",0,11282,12500,1875,10625,0,15,1219,-657,0.9417656443892927,-1219,0,0.1661939372451693,0.9417656443892927
"Meat, chicken",92.71936572882542,1640434,360052,338929,21123,1521e3,94.13334740537478,240617,-98311,0.9400701277832574,1280383,0.9271936572882542,0.206609348501677,0.012876470495003152
Oilseeds nes,0,13042,13998,1792,12206,0,12.801828832690385,957,-836,0.935899401932219,-957,0,0.13740223892041098,0.935899401932219
Currants,93.12454122828481,16348,1138,1138,0,15224,100,13,-1124,0.9312454122828481,15211,0.9312454122828481,0.06961096158551505,0
"Honey, natural",18.878593392079576,48457,41034,5334,35700,9148,12.99897645854657,1722,-3609,0.9255215964669707,7426,0.18878593392079576,0.11007697546278143,0.736735662546175
"Meat, game",74.52859350850078,6470,3625,2466,1159,4822,68.02758620689656,1977,-489,0.9244204018547141,2845,0.7452859350850077,0.3811437403400309,0.17913446676970635
Bananas,0,1094208,1120686,111293,1009393,0,9.930792389661331,26475,-84815,0.922487315026028,-26475,0,0.10171100924138737,0.922487315026028
Asparagus,29.964440493388157,17998,12944,1805,11139,5393,13.944684796044498,339,-1466,0.9185465051672408,5054,0.29964440493388156,0.10028892099122125,0.6189021002333592
"Meat, pig",91.22413669024641,986581,228375,228329,46,9e5,99.97985769020252,141794,-86535,0.9122879925723281,758206,0.9122413669024642,0.23143462118163638,4.662566986390372e-5
"Nuts, nes",0,4962,5790,1280,4510,0,22.107081174438687,829,-452,0.9089076985086658,-829,0,0.25796049979846836,0.9089076985086658
