I,include,percent_uk,totalUse,importWorld,importEU,importNonEU,production,percent_EU_imports,exports,deficit_after_brexit,leftAfterBrexit,production_less_exports,importEU_perc,importNonEU_perc,production_perc,total
"Broad beans, horse beans, dry",,295.0952706,92421,449,185,264,272730,41.20267261,180756,180573,2.953809199,91974,0.000677212,0.000966399,0.998356389,273179
"Cashew nuts, with shell",,0,105,200,41,159,0,20.5,95,54,1.514285714,-95,0.205,0.795,0,200
"Tobacco, unmanufactured",,0,22714,32341,2627,29714,0,8.122816239,9625,7.00E+03,1.308179977,-9625,0.081228162,0.918771838,0,32341
Barley,,124.8600196,5902610,135501,130120,5381,7.37E+06,96.0288116,1602891,1472771,1.249511826,5767109,0.017336618,0.000716941,0.981946442,7505501
"Meat, sheep",y,96.12752494,314166,90909,7151,83758,3.02E+05,7.866107866,78739,71592,1.227879529,223261,0.018200143,0.213174043,0.768625814,392909
Linseed,,116.8036088,24828,11326,10242,1084,2.90E+04,90.42910118,15498,5256,1.211696472,13502,0.253980062,0.02688092,0.719139017,40326
"Meat, nes",,115.8762887,1940,712,706,6,2248,99.15730337,1022,314,1.16185567,1226,0.238513514,0.002027027,0.759459459,2960
Kola nuts,,0,22,25,0,25,0,0,3,3,1.136363636,-3,0,1,0,25
"Peas, dry",,104.2551593,173037,19049,6847,12202,180400,35.94414405,26410,19565,1.113068303,153990,0.034329578,0.061178547,0.904491875,199449
Rapeseed,,109.9304091,2312372,77841,77838,3,2.54E+06,99.99614599,307468,229631,1.099305389,2234532,0.029710963,1.15E-06,0.970287892,2617841
Tea,,0,113400,133491,10514,122977,0,7.87618641,20093,9577,1.084453263,-20093,0.078761864,0.921238136,0,133491
Lentils,y,0,20715,23226,1299,21927,0,5.592870059,2508,1212,1.058508327,-2508,0.055928701,0.944071299,0,23226
Wheat,y,102.8955872,15981249,1537796,1086642,451154,1.64E+07,70.66229851,2000545,913905,1.057186081,14443455,0.060430115,0.025089485,0.9144804,17937796
Oats,y,105.5742964,756813,37519,37510,9,7.99E+05,99.97601215,79707,42196,1.055754856,719293,0.044840583,1.08E-05,0.955148658,836519
Cloves,,0,333,437,88,349,0,20.13729977,105,16,1.048048048,-105,0.201372998,0.798627002,0,437
"Beans, dry",,0,106996,119967,8766,111201,0,7.307009428,12967,4205,1.039300535,-12967,0.073070094,0.926929906,0,119967
"Milk, whole fresh cow",y,103.3209835,14831450,136967,136954,13,1.53E+07,99.99050866,629517,492563,1.033210711,14694483,0.008858049,8.41E-07,0.99114111,15436967
"Coffee, green",,0,162836,171050,3990,167060,0,2.332651272,8214,4224,1.02594021,-8214,0.023326513,0.976673487,0,171050
Potatoes,y,101.5646791,5557050,181644,137128,44516,5.64E+06,75.49272203,268593,131466,1.023657516,5375407,0.023538685,0.007641387,0.968819928,5821644
"Peas, green",,94.97901355,171301,12734,686,12048,162700,5.387152505,4132,3447,1.020122474,158568,0.003910302,0.068675399,0.927414298,175434
"Cocoa, beans",,0,57109,57772,80,57692,0,0.138475386,660,583,1.010208549,-660,0.001384754,0.998615246,0,57772
Dates,,0,17760,19497,1625,17872,0,8.334615582,1741,112,1.006306306,-1741,0.083346156,0.916653844,0,19497
Sugar beet,,99.83775161,6228105,11082,11071,11,6.22E+06,99.90073994,976,-10094,0.998379282,6217024,0.001777308,1.77E-06,0.998220926,6231082
Ginger,y,0,20548,21687,1196,20491,0,5.514824549,1142,-57,0.997226007,-1142,0.055148245,0.944851755,0,21687
Sesame seed,,0,7685,8032,384,7648,0,4.780876494,344,-37,0.995185426,-344,0.047808765,0.952191235,0,8032
"Meat, turkey",y,98.34604768,184044,32819,30793,2026,1.81E+05,93.8267467,29776,-1018,0.994468714,151224,0.14401433,0.009475304,0.846510366,213819
Carrots and turnips,,98.11719132,745004,40430,32420,8010,730977,80.18797922,26401,-6017,0.991923533,704576,0.042027101,0.010383624,0.947589275,771407
"Rubber, natural",,0,38212,38546,649,37897,0,1.683702589,334,-315,0.991756516,-334,0.016837026,0.983162974,0,38546
Pineapples,y,0,129189,141809,13817,127992,0,9.743387232,12619,-1197,0.990734505,-12619,0.097433872,0.902566128,0,141809
Flax fibre and tow,,99.03365545,15005,178,178,0,14860,100,33,-145,0.990336554,14827,0.01183668,0,0.98816332,15038
