Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
,United Kingdom,,Belgium,,Total,,Export Value,2016,2016,1000 US$,662470,
,United Kingdom,,Belgium,,Total,,Import Value,2016,2016,1000 US$,2861791,
,United Kingdom,,Bulgaria,,Total,,Export Value,2016,2016,1000 US$,79782,
,United Kingdom,,Bulgaria,,Total,,Import Value,2016,2016,1000 US$,47251,
,United Kingdom,,Croatia,,Total,,Export Value,2016,2016,1000 US$,27133,
,United Kingdom,,Croatia,,Total,,Import Value,2016,2016,1000 US$,9200,
,United Kingdom,,Cyprus,,Total,,Export Value,2016,2016,1000 US$,84211,
,United Kingdom,,Cyprus,,Total,,Import Value,2016,2016,1000 US$,88738,
,United Kingdom,,Czechia,,Total,,Export Value,2016,2016,1000 US$,153395,
,United Kingdom,,Czechia,,Total,,Import Value,2016,2016,1000 US$,191282,
,United Kingdom,,Denmark,,Total,,Export Value,2016,2016,1000 US$,367271,
,United Kingdom,,Denmark,,Total,,Import Value,2016,2016,1000 US$,1553769,
,United Kingdom,,Estonia,,Total,,Export Value,2016,2016,1000 US$,50155,
,United Kingdom,,Estonia,,Total,,Import Value,2016,2016,1000 US$,13876,
,United Kingdom,,Finland,,Total,,Export Value,2016,2016,1000 US$,123932,
,United Kingdom,,Finland,,Total,,Import Value,2016,2016,1000 US$,36072,
,United Kingdom,,France,,Total,,Export Value,2016,2016,1000 US$,2357786,
,United Kingdom,,France,,Total,,Import Value,2016,2016,1000 US$,5064815,
,United Kingdom,,Germany,,Total,,Export Value,2016,2016,1000 US$,1688675,
,United Kingdom,,Germany,,Total,,Import Value,2016,2016,1000 US$,4834400,
,United Kingdom,,Greece,,Total,,Export Value,2016,2016,1000 US$,170994,
,United Kingdom,,Greece,,Total,,Import Value,2016,2016,1000 US$,344024,
,United Kingdom,,Hungary,,Total,,Export Value,2016,2016,1000 US$,66628,
,United Kingdom,,Hungary,,Total,,Import Value,2016,2016,1000 US$,197263,
,United Kingdom,,Ireland,,Total,,Export Value,2016,2016,1000 US$,4449700,
,United Kingdom,,Ireland,,Total,,Import Value,2016,2016,1000 US$,5372294,
,United Kingdom,,Italy,,Total,,Export Value,2016,2016,1000 US$,648617,
,United Kingdom,,Italy,,Total,,Import Value,2016,2016,1000 US$,3245876,
,United Kingdom,,Latvia,,Total,,Export Value,2016,2016,1000 US$,109880,
,United Kingdom,,Latvia,,Total,,Import Value,2016,2016,1000 US$,50342,
,United Kingdom,,Lithuania,,Total,,Export Value,2016,2016,1000 US$,32308,
,United Kingdom,,Lithuania,,Total,,Import Value,2016,2016,1000 US$,97240,
,United Kingdom,,Luxembourg,,Total,,Export Value,2016,2016,1000 US$,13719,
,United Kingdom,,Luxembourg,,Total,,Import Value,2016,2016,1000 US$,11550,
,United Kingdom,,Malta,,Total,,Export Value,2016,2016,1000 US$,62680,
,United Kingdom,,Malta,,Total,,Import Value,2016,2016,1000 US$,10178,
,United Kingdom,,Netherlands,,Total,,Export Value,2016,2016,1000 US$,1648936,
,United Kingdom,,Netherlands,,Total,,Import Value,2016,2016,1000 US$,7119924,
,United Kingdom,,Poland,,Total,,Export Value,2016,2016,1000 US$,440932,
,United Kingdom,,Poland,,Total,,Import Value,2016,2016,1000 US$,1777882,
,United Kingdom,,Portugal,,Total,,Export Value,2016,2016,1000 US$,257815,
,United Kingdom,,Portugal,,Total,,Import Value,2016,2016,1000 US$,267761,
,United Kingdom,,Romania,,Total,,Export Value,2016,2016,1000 US$,53729,
,United Kingdom,,Romania,,Total,,Import Value,2016,2016,1000 US$,143438,
,United Kingdom,,Slovakia,,Total,,Export Value,2016,2016,1000 US$,24456,
,United Kingdom,,Slovakia,,Total,,Import Value,2016,2016,1000 US$,73729,
,United Kingdom,,Slovenia,,Total,,Export Value,2016,2016,1000 US$,17616,
,United Kingdom,,Slovenia,,Total,,Import Value,2016,2016,1000 US$,23294,
,United Kingdom,,Spain,,Total,,Export Value,2016,2016,1000 US$,1129050,
,United Kingdom,,Spain,,Total,,Import Value,2016,2016,1000 US$,3554270,
,United Kingdom,,Sweden,,Total,,Export Value,2016,2016,1000 US$,348319,
,United Kingdom,,Sweden,,Total,,Import Value,2016,2016,1000 US$,303592,
229,United Kingdom,255,Belgium,862,Alfalfa meal and pellets,5922,Export Value,2016,2016,1000 US$,7,NA
229,United Kingdom,255,Belgium,231,Almonds shelled,5622,Import Value,2016,2016,1000 US$,943,NA
229,United Kingdom,255,Belgium,231,Almonds shelled,5922,Export Value,2016,2016,1000 US$,271,NA
229,United Kingdom,255,Belgium,1169,"Animals, live, non-food",5622,Import Value,2016,2016,1000 US$,497,NA
229,United Kingdom,255,Belgium,1169,"Animals, live, non-food",5922,Export Value,2016,2016,1000 US$,1272,NA
229,United Kingdom,255,Belgium,711,"Anise, badian, fennel, coriander",5622,Import Value,2016,2016,1000 US$,47,NA
229,United Kingdom,255,Belgium,711,"Anise, badian, fennel, coriander",5922,Export Value,2016,2016,1000 US$,153,NA
229,United Kingdom,255,Belgium,515,Apples,5622,Import Value,2016,2016,1000 US$,9657,NA
229,United Kingdom,255,Belgium,515,Apples,5922,Export Value,2016,2016,1000 US$,135,NA
229,United Kingdom,255,Belgium,526,Apricots,5622,Import Value,2016,2016,1000 US$,8,NA
229,United Kingdom,255,Belgium,526,Apricots,5922,Export Value,2016,2016,1000 US$,0,NA
229,United Kingdom,255,Belgium,527,"Apricots, dry",5622,Import Value,2016,2016,1000 US$,11,NA
229,United Kingdom,255,Belgium,527,"Apricots, dry",5922,Export Value,2016,2016,1000 US$,11,NA
229,United Kingdom,255,Belgium,366,Artichokes,5622,Import Value,2016,2016,1000 US$,5,NA
229,United Kingdom,255,Belgium,366,Artichokes,5922,Export Value,2016,2016,1000 US$,1,NA
229,United Kingdom,255,Belgium,367,Asparagus,5622,Import Value,2016,2016,1000 US$,288,NA
229,United Kingdom,255,Belgium,367,Asparagus,5922,Export Value,2016,2016,1000 US$,8,NA
229,United Kingdom,255,Belgium,572,Avocados,5622,Import Value,2016,2016,1000 US$,1519,NA
229,United Kingdom,255,Belgium,572,Avocados,5922,Export Value,2016,2016,1000 US$,78,NA
229,United Kingdom,255,Belgium,1039,Bacon and ham,5622,Import Value,2016,2016,1000 US$,3459,NA
229,United Kingdom,255,Belgium,1039,Bacon and ham,5922,Export Value,2016,2016,1000 US$,563,NA
229,United Kingdom,255,Belgium,486,Bananas,5622,Import Value,2016,2016,1000 US$,8693,NA
229,United Kingdom,255,Belgium,486,Bananas,5922,Export Value,2016,2016,1000 US$,654,NA
229,United Kingdom,255,Belgium,44,Barley,5622,Import Value,2016,2016,1000 US$,29,NA
229,United Kingdom,255,Belgium,44,Barley,5922,Export Value,2016,2016,1000 US$,25265,NA
229,United Kingdom,255,Belgium,176,"Beans, dry",5622,Import Value,2016,2016,1000 US$,49,NA
229,United Kingdom,255,Belgium,176,"Beans, dry",5922,Export Value,2016,2016,1000 US$,274,NA
229,United Kingdom,255,Belgium,414,"Beans, green",5622,Import Value,2016,2016,1000 US$,2627,NA
229,United Kingdom,255,Belgium,414,"Beans, green",5922,Export Value,2016,2016,1000 US$,7,NA
229,United Kingdom,255,Belgium,51,Beer of barley,5622,Import Value,2016,2016,1000 US$,110696,NA
229,United Kingdom,255,Belgium,51,Beer of barley,5922,Export Value,2016,2016,1000 US$,10134,NA
229,United Kingdom,255,Belgium,1183,Beeswax,5622,Import Value,2016,2016,1000 US$,8,NA
229,United Kingdom,255,Belgium,1183,Beeswax,5922,Export Value,2016,2016,1000 US$,26,NA
229,United Kingdom,255,Belgium,169,Beet pulp,5622,Import Value,2016,2016,1000 US$,145,NA
229,United Kingdom,255,Belgium,634,"Beverages, distilled alcoholic",5622,Import Value,2016,2016,1000 US$,23880,NA
229,United Kingdom,255,Belgium,634,"Beverages, distilled alcoholic",5922,Export Value,2016,2016,1000 US$,48116,NA
229,United Kingdom,255,Belgium,633,"Beverages, non alcoholic",5622,Import Value,2016,2016,1000 US$,139964,NA
229,United Kingdom,255,Belgium,633,"Beverages, non alcoholic",5922,Export Value,2016,2016,1000 US$,27845,NA
229,United Kingdom,255,Belgium,552,Blueberries,5622,Import Value,2016,2016,1000 US$,557,NA
229,United Kingdom,255,Belgium,552,Blueberries,5922,Export Value,2016,2016,1000 US$,17,NA
229,United Kingdom,255,Belgium,17,"Bran, wheat",5622,Import Value,2016,2016,1000 US$,2052,NA
229,United Kingdom,255,Belgium,229,"Brazil nuts, shelled",5922,Export Value,2016,2016,1000 US$,733,NA
229,United Kingdom,255,Belgium,20,Bread,5622,Import Value,2016,2016,1000 US$,88,NA
229,United Kingdom,255,Belgium,20,Bread,5922,Export Value,2016,2016,1000 US$,303,NA
229,United Kingdom,255,Belgium,181,"Broad beans, horse beans, dry",5622,Import Value,2016,2016,1000 US$,2,NA
229,United Kingdom,255,Belgium,181,"Broad beans, horse beans, dry",5922,Export Value,2016,2016,1000 US$,864,NA
229,United Kingdom,255,Belgium,89,Buckwheat,5922,Export Value,2016,2016,1000 US$,0,NA
229,United Kingdom,255,Belgium,886,"Butter, cow milk",5622,Import Value,2016,2016,1000 US$,9461,NA
229,United Kingdom,255,Belgium,886,"Butter, cow milk",5922,Export Value,2016,2016,1000 US$,73353,NA
229,United Kingdom,255,Belgium,893,"Buttermilk, curdled, acidified milk",5622,Import Value,2016,2016,1000 US$,45252,NA
229,United Kingdom,255,Belgium,893,"Buttermilk, curdled, acidified milk",5922,Export Value,2016,2016,1000 US$,11,NA
229,United Kingdom,255,Belgium,358,Cabbages and other brassicas,5622,Import Value,2016,2016,1000 US$,1210,NA
229,United Kingdom,255,Belgium,358,Cabbages and other brassicas,5922,Export Value,2016,2016,1000 US$,12,NA
229,United Kingdom,255,Belgium,253,"Cake, copra",5622,Import Value,2016,2016,1000 US$,3,NA
229,United Kingdom,255,Belgium,335,"Cake, linseed",5622,Import Value,2016,2016,1000 US$,473,NA
229,United Kingdom,255,Belgium,272,"Cake, rapeseed",5622,Import Value,2016,2016,1000 US$,11367,NA
229,United Kingdom,255,Belgium,238,"Cake, soybeans",5622,Import Value,2016,2016,1000 US$,946,NA
229,United Kingdom,255,Belgium,101,Canary seed,5622,Import Value,2016,2016,1000 US$,406,NA
229,United Kingdom,255,Belgium,426,Carrots and turnips,5622,Import Value,2016,2016,1000 US$,1182,NA
229,United Kingdom,255,Belgium,426,Carrots and turnips,5922,Export Value,2016,2016,1000 US$,1027,NA
229,United Kingdom,255,Belgium,230,"Cashew nuts, shelled",5622,Import Value,2016,2016,1000 US$,45,NA
229,United Kingdom,255,Belgium,230,"Cashew nuts, shelled",5922,Export Value,2016,2016,1000 US$,161,NA
229,United Kingdom,255,Belgium,217,"Cashew nuts, with shell",5922,Export Value,2016,2016,1000 US$,25,NA
229,United Kingdom,255,Belgium,128,Cassava dried,5922,Export Value,2016,2016,1000 US$,102,NA
229,United Kingdom,255,Belgium,866,Cattle,5622,Import Value,2016,2016,1000 US$,296,NA
229,United Kingdom,255,Belgium,393,Cauliflowers and broccoli,5622,Import Value,2016,2016,1000 US$,344,NA
229,United Kingdom,255,Belgium,393,Cauliflowers and broccoli,5922,Export Value,2016,2016,1000 US$,182,NA
229,United Kingdom,255,Belgium,113,"Cereal preparations, nes",5622,Import Value,2016,2016,1000 US$,3540,NA
229,United Kingdom,255,Belgium,113,"Cereal preparations, nes",5922,Export Value,2016,2016,1000 US$,60,NA
229,United Kingdom,255,Belgium,41,"Cereals, breakfast",5622,Import Value,2016,2016,1000 US$,21622,NA
229,United Kingdom,255,Belgium,41,"Cereals, breakfast",5922,Export Value,2016,2016,1000 US$,26572,NA
229,United Kingdom,255,Belgium,907,"Cheese, processed",5622,Import Value,2016,2016,1000 US$,56810,NA
229,United Kingdom,255,Belgium,907,"Cheese, processed",5922,Export Value,2016,2016,1000 US$,1101,NA
229,United Kingdom,255,Belgium,901,"Cheese, whole cow milk",5622,Import Value,2016,2016,1000 US$,39093,NA
229,United Kingdom,255,Belgium,901,"Cheese, whole cow milk",5922,Export Value,2016,2016,1000 US$,8533,NA
229,United Kingdom,255,Belgium,531,Cherries,5622,Import Value,2016,2016,1000 US$,576,NA
229,United Kingdom,255,Belgium,531,Cherries,5922,Export Value,2016,2016,1000 US$,2,NA
229,United Kingdom,255,Belgium,530,"Cherries, sour",5622,Import Value,2016,2016,1000 US$,24,NA
229,United Kingdom,255,Belgium,220,Chestnut,5922,Export Value,2016,2016,1000 US$,0,NA
229,United Kingdom,255,Belgium,191,Chick peas,5622,Import Value,2016,2016,1000 US$,106,NA
229,United Kingdom,255,Belgium,191,Chick peas,5922,Export Value,2016,2016,1000 US$,133,NA
229,United Kingdom,255,Belgium,1057,Chickens,5922,Export Value,2016,2016,1000 US$,95,NA
229,United Kingdom,255,Belgium,689,"Chillies and peppers, dry",5622,Import Value,2016,2016,1000 US$,542,NA
229,United Kingdom,255,Belgium,689,"Chillies and peppers, dry",5922,Export Value,2016,2016,1000 US$,380,NA
229,United Kingdom,255,Belgium,401,"Chillies and peppers, green",5622,Import Value,2016,2016,1000 US$,2786,NA
